,news_text
1139,มหาวิทยาลัยสงขลานครินทร์ วิทยาเขตปัตตานี (มอ.ปัตตานี) เตรียมเปิดเทอมในวันที่ 29 พฤศจิกายน 2564 จึงมีความจำเป็นต้องปิดโรงพยาบาลสนามและศูนย์แยกกักในชุมชนสำหรับประชาชนในจังหวัดปัตตานี เพื่อรับนักศึกษากลับมาอยู่ในมหาวิทยาลัย และออกแบบมาตรการเพื่อให้การเรียนการสอนมีคุณภาพ และมีความปลอดภัยต่อนักศึกษา อาจารย์ และบุคลากร รศ.อิ่มจิต เลิศพงษ์สมบัติ รองอธิการบดีวิทยาเขตปัตตานีแจ้งว่า ตามที่มหาวิทยาลัยสงขลานครินทร์ วิทยาเขตปัตตานีได้เปิดการเรียนการสอนแบบ hybrid มาตั้งแต่ภาคการศึกษาที่ 1/2563 และ เปิดสอน online มาตั้งแต่ภาคการศึกษาที่ 1/2564 เนื่องจากสถานการณ์การแพร่ระบาดของโรคไวรัสโควิด-19 ในประเทศไทย นั้น ต่อมาได้รับการร้องขอจากสำนักงานสาธารณสุขจังหวัดปัตตานี และโรงพยาบาลปัตตานีในการขอใช้หอพัก 3 เป็นโรงพยาบาลสนาม หอพัก 6 เป็น LQ (Local Quarantine) หรือสถานกักผู้สัมผัสเสี่ยงสูงสำหรับบุคลากรทางการแพทย์ และหอพัก 7 เป็น CI (Community Isolation) หรือศูนย์แยกกักในชุมชนสำหรับผู้ติดเชื้อโควิด-19 นั้น
1140,แม้ว่าสถานการณ์การแพร่ระบาดโรค COVID-19 ของประเทศไทยจะมีแนวโน้มไปในทิศทางที่ดีขึ้น แต่ในส่วนของจังหวัดลำปางยังคงมีการตรวจพบผู้ป่วยในหลายพื้นที่ ซึ่งสาเหตุหลักที่ทำให้ประชาชนเกิดการติดเชื้อ ยังคงเกิดจากการเดินทางที่มีเคลื่อนย้ายข้ามเขตพื้นที่ของประชากร และมีโอกาสที่จะเกิดการแพร่กระจายออกไปเป็นวงกว้างหากไม่มีการป้องกันควบคุมที่มีประสิทธิภาพ
1141,อ.พล จ.ขอนแก่น จัดฉีดวัคซีนไฟเซอร์ เข็มที่ 1 และ 2 ให้กับผู้ที่ยังไม่ได้รับวัคซีน ที่ รพ.พล เริ่ม 29 พ.ย.นี้ พร้อมจัดชุดเคลื่อนที่เร็วบุกถึงบ้านตรวจหาคนที่ยังไม่ฉีดวัคซีนเพื่อให้บริการแบบถึงที่
1142,นายแพทย์สงกรานต์ จันทร์มุณี ผู้อำนวยการโรงพยาบาลตะกั่วป่า กล่าวว่า ในโอกาสวันสถาปนากระทรวงสาธารณสุข วันที่ 27 พฤศจิกายน 2564 จึงขอเชิญชวนชาวพังงา ที่ยังไม่ได้รับวัคซีนโควิด-19 สามารถ Walk-in เข้ารับการฉีดวัคซีนโควิด -19 โดยไม่ต้องลงทะเบียนจอง ซึ่งจะได้วัคซีนโควิด-19 เข็มที่ 1 เป็น Astrazeneca และเข็มที่ 2 เป็น Pfizer ในส่วนของผู้ที่ได้รับวัคซีนเข็มที่ 1 จากต่างพื้นที่ เข้ารับการฉีดวัคซีนเข็ม 2 โดยนำใบนัดเดิมมาด้วย อีกทั้งผู้ได้รับวัคซีน Sinovac ครบ 2 เข็ม ในช่วงเดือนสิงหาคม 2564 หรือก่อนหน้านั้น สามารถเข้ารับวัคซีน เข็มที่ 3 เป็น Astrazeneca เป็นเข็มกระตุ้น
1143,วันนี้ (26 พ.ย. 64) นายจีรวัฒน์ พราหมณี ปลัดเทศบาลเมืองหัวหิน จ.ประจวบคีรีขันธ์ เปิดเผยว่า ได้นำคณะครูและบุคลากรทางการศึกษาในโรงเรียนสังกัดเทศบาลเมืองหัวหิน เข้ารับการฝึกอบรมวิธีการตรวจคัดกรองหาเชื้อโควิด-19 เบื้องต้นด้วยชุดตรวจเอทีเค โดยมีเจ้าหน้าที่กองสาธารณสุขและสิ่งแวดล้อม เป็นวิทยากรให้ความรู้ ที่อาคารจอดรถชั้น 6 สำนักงานเทศบาลเมืองหัวหิน เพื่อเตรียมความพร้อมรับการเปิดภาคเรียนที่ 2 ปีการศึกษา 2564 ในรูปแบบปกติที่โรงเรียนหรือรูปแบบ On Site ในวันที่ 29 พ.ย.64 สำหรับโรงเรียนเทศบาลบ้านหัวหิน ที่จะเปิดเรียนในระดับมัธยมศึกษาตอนปลาย / วันที่ 7 ธ.ค.64 โรงเรียนเทศบาลบ้านหัวหิน และโรงเรียนเทศบาลบ้านบ่อฝ้าย เปิดเรียนในระดับมัธยมศึกษาตอนต้น และวันที่ 13 ธ.ค.64 จะเปิดเรียนในระดับอนุบาล 1 ถึงชั้น ป.6 ทุกโรงเรียนในสังกัด ยกเว้นศูนย์พัฒนาเด็กเล็ก โดยหากตรวจพบเด็กนักเรียน ครู หรือบุคลากรทางการศึกษาในโรงเรียนมีผลเป็นบวกจะนำเข้ารับการตรวจยืนยันผลด้วยวิธี RT-PCR อีกครั้ง
1144,ประชาชน ทยอยรับไฟเซอร์เข็มแรก ที่ด่านตรวจยะลา   ล่าสุด เข็ม 1 ฉีดแล้ว ร้อยละ 62.17 ด้าน สสจ.ยะลา ชวนชาวยะลา ร่วมรณรงค์สัปดาห์แห่งการฉีดวัคซีนโควิด-19 สู่เป้าหมายประเทศ 100 ล้านโดส
1145,คณะรัฐมนตรีมีมติรับทราบการจัดซื้อวัคซีนป้องกันโรคติดเชื้อไวรัสโคโรนา 2019 (โควิด-19) สำหรับปี 2565 จาก บริษัท ไฟเซอร์ จำกัด (Pfizer) เพิ่มเติมจำนวน 30 ล้านโดส และเห็นชอบการลงนามในสัญญา Third Amendment to Manufacturing and Supply Agreement ระหว่างกรมควบคุมโรคและ บริษัท ไฟเซอร์ จำกัด โดยให้อธิบดีกรมควบคุมโรคเป็นผู้มีอำนาจลงนามในสัญญาดังกล่าว
1146,บริษัทโนวาแวกซ์ ออกแถลงการณ์เมื่อวานนี้ว่า ได้เริ่มการวิจัยและพัฒนาวัคซีนโควิด-19 รุ่นต่อไป เพื่อให้มีประสิทธิภาพเพียงพอสำหรับการรับมือกับเชื้อกลายพันธุ์โอไมครอน
1147,เครือข่ายบริการสุขภาพอำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน เปิดให้บริการฉีดวัคซีนป้องกันโควิด-19 แบบไม่ต้องจองล่วงหน้า (Walk in) ในวันเลือกตั้งนายกองค์การบริหารส่วนตำบล และ สมาชิกสภาฯ ซึ่งตรงกับวันอาทิตย์ที่ 28 พฤศจิกายน 2564 ณ จุดเลือกตั้ง 2 หน่วย ได้แก่ 1 หน่วยเลือกตั้งศาลาบ้านโป่งดอยช้าง หมู่ 13 ตำบลบ้านกาศ 2 หน่วยเลือกตั้งบ้านแม่สะลาบ ตำบลแม่คง (โรงเรียนบ้านแม่สะลาบ) ตั้งแต่เวลา 8.30 – 15.00 น. ดำเนินการฉีดสูตรใหม่ คือเข็ม 1 แอสตร้าเซนเนก้า และ เข็ม 2 ไฟเซอร์ (หรือ แอสตร้าเซนเนก้าในกรณีจำเป็น) หลักเกณฑ์ คือ ต้องเป็นประชาชนที่มีอายุตั้งแต่ 18 ปี ขึ้นไป และเป็นผู้ที่ไม่เคยรับวัคซีนป้องกันโรคโควิด -19 มาก่อน กรณีหญิงให้นมบุตร หญิงตั้งครรภ์มากกว่า 12 สัปดาห์ มีโรคประจำตัว เช่น ความดัน เบาหวาน สามารถเข้ารับการฉีดสูตรนี้ได้เช่นกัน หากมีโรคประจำตัวสามารถแจ้งเจ้าหน้าที่หรือปรึกษาแพทย์ที่ดูแลประจำก่อนเข้ารับวัคซีน
1148,ศึกษาธิการจังหวัดเชียงใหม่เผย ขณะนี้มีนักเรียนที่แจ้งความประสงค์ฉีดวัคซีนได้รับการฉีดวัคซีนไปได้แล้วกว่าร้อยละ 99 ของจำนวนนักเรียนที่ประสงค์ฉีดทั้งหมดในรอบแรก โดยไม่พบผลข้างเคียงแต่อย่างใด
1149,ไบโอเอ็นเทค บริษัทเทคโนโลยีชีวภาพของเยอรมนีที่พัฒนาวัคซีนโควิด-19 ร่วมกับไฟเซอร์เปิดเผยว่า ได้เริ่มทำการศึกษาวิจัยเกี่ยวกับเชื้อกลายพันธุ์โอไมครอนทันทีและคาดว่า จะได้ข้อมูลเพิ่มเติมจากห้องปฏิบัติการภายใน 2 สัปดาห์ ซึ่งจะช่วยให้ทราบว่า ต้องมีการปรับสูตรวัคซีนเพื่อให้รับมือกับเชื้อกลายพันธุ์โอไมครอน ได้หรือไม่ และหากมีความจำเป็นก็คาดว่าจะสามารถปรับสูตรวัคซีนใหม่ออกสู่ท้องตลาดได้ภายใน 100 วัน
1150,"27 พ.ย.64 ที่บริเวณลานชั้น 2 ศูนย์การค้าเสริมไทยคอมเพล็กซ์จังหวัดมหาสารคาม นายเกียรติศักดิ์ตรงศิริ ผู้ว่าราชการจังหวัดมหาสารคาม เป็นประธานในการเปิดกิจกรรม Kick Off รณรงค์สัปดาห์การฉีดวัคซีนป้องกันโรคโควิด -19 “10 วัน 10 หมื่นโดส “เพื่อมหาสารคามปลอดภัย covid- 19 จากสถานการณ์ที่มีการระบาดด้วยโรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) ไปทั่วโลกมีผู้ติดเชื้อสะสมราว 260,832,919 รายเสียชีวิตจำนวน 5,205,602 รายและยังคงมีการระบาดต่อเนื่องรวมถึงประเทศไทยมีผู้ติดเชื้อสะสม 2,100,959 รายเสียชีวิตไปแล้วจำนวน 20,677 รายและส่งผลกระทบระบบสาธารณสุขเศรษฐกิจและสังคมของประเทศเป็นอย่างมาก ประชาชนจำเป็นต้องดูแลและปรับเปลี่ยนวิถีชีวิตทุกกลุ่มวัย รัฐบาลได้มีนโยบายและมาตรการหลายอย่างในการควบคุมโรคและสร้างความปลอดภัย ให้ประชาชน เช่น มาตรการสวมหน้ากากอนามัย หรือหน้ากากผ้า การเว้นระยะห่างทางกายภาพ การรักษาสุขอนามัยส่วนบุคคล การกักกันโรค เพื่อลดอัตราการป่วยรุนแรงการเสียชีวิต การลดค่าใช้จ่ายในการดูแลผู้ป่วยของภาครัฐ พร้อมกับการฟื้นฟูเศรษฐกิจและสังคม ให้กลับสู่ภาวะปกติโดยเร็ว และเปิดประเทศต่อไปซึ่งมาตรการที่จําเป็นและสำคัญอย่างยิ่งในการเปิดประเทศ ได้แก่ การฉีดวัคซีนโดยรัฐบาลได้กำหนดเป้าหมายเป้าหมายการฉีดวัคซีนเข็มที่ 1 ให้ครอบคลุมประชากรร้อยละ 80 และเข็มที่ 2 ร้อยละ 70 ในเดือนธันวาคม 2560 โดยจังหวัดมหาสารคามขณะนี้มีประชากรเป้าหมาย 557,365 ราย สามารถฉีดวัคซีนเข็ม 1 ภายในจังหวัดได้จำนวน 474,091 คิดเป็นร้อยละ 49 56 ประชาชนชาวมหาสารคามที่อยู่นอกพื้นที่ที่ได้รับการฉีดวัคซีนอีก 222,448 รายคิดเป็นร้อยละ 23.23 เมื่อรวมชาวมหาสารคามได้รับการฉีดวัคซีนทั้งภายในและภายนอกจังหวัดคิดเป็นร้อยละ 72.79% คงเหลือเพียงร้อยละ 7.21 จังหวัดมหาสารคามจะบรรลุเป้าหมายร้อยละ 80"
1151,"ที่บริเวณลานชั้น 2 ศูนย์การค้าเสริมไทยคอมเพล็กซ์จังหวัดมหาสารคาม นายเกียรติศักดิ์ ตรงศิริ ผู้ว่าราชการจังหวัดมหาสารคาม เป็นประธานในการเปิดกิจกรรม Kick Off รณรงค์สัปดาห์การฉีดวัคซีนป้องกันโรคโควิด -19 “10 วัน 10 หมื่นโดส “เพื่อมหาสารคามปลอดภัย covid- 19 จากสถานการณ์ที่มีการระบาดด้วยโรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) ไปทั่วโลกมีผู้ติดเชื้อสะสมราว 260,832,919 ราย เสียชีวิต จำนวน 5,205,602 ราย และยังคงมีการระบาดต่อเนื่องรวมถึงประเทศไทยมีผู้ติดเชื้อสะสม 2,100,959 ราย เสียชีวิตไปแล้วจำนวน 20,677 ราย และส่งผลกระทบระบบสาธารณสุขเศรษฐกิจและสังคมของประเทศเป็นอย่างมาก ประชาชนจำเป็นต้องดูแลและปรับเปลี่ยนวิถีชีวิตทุกกลุ่มวัย รัฐบาลได้มีนโยบายและมาตรการหลายอย่างในการควบคุมโรคและสร้างความปลอดภัย ให้ประชาชน เช่น มาตรการสวมหน้ากากอนามัย หรือหน้ากากผ้า การเว้นระยะห่างทางกายภาพ การรักษาสุขอนามัยส่วนบุคคล การกักกันโรค เพื่อลดอัตราการป่วยรุนแรงการเสียชีวิต การลดค่าใช้จ่ายในการดูแลผู้ป่วยของภาครัฐ พร้อมกับการฟื้นฟูเศรษฐกิจและสังคม ให้กลับสู่ภาวะปกติโดยเร็ว และเปิดประเทศต่อไป ซึ่งมาตรการที่จําเป็นและสำคัญอย่างยิ่งในการเปิดประเทศ ได้แก่ การฉีดวัคซีนโดยรัฐบาลได้กำหนดเป้าหมายการฉีดวัคซีนเข็มที่ 1 ให้ครอบคลุมประชากรร้อยละ 80 และเข็มที่ 2 ร้อยละ 70 ในเดือนธันวาคม 2560 โดยจังหวัดมหาสารคามขณะนี้มีประชากรเป้าหมาย 557,365 ราย สามารถฉีดวัคซีนเข็ม 1 ภายในจังหวัดได้จำนวน 474,091 คิดเป็นร้อยละ 49 56 ประชาชนชาวมหาสารคามที่อยู่นอกพื้นที่ที่ได้รับการฉีดวัคซีนอีก 222,448 ราย คิดเป็นร้อยละ 23.23 เมื่อรวมชาวมหาสารคามได้รับการฉีดวัคซีนทั้งภายในและภายนอกจังหวัดคิดเป็นร้อยละ 72.79% คงเหลือเพียงร้อยละ 7.21 จังหวัดมหาสารคามจะบรรลุเป้าหมายร้อยละ 80"
1152,จังหวัดปัตตานี ได้มีการปรับแผนในการให้บริการวัคซีนในพื้นที่ประชาชน หนาแน่น โดยจัดให้มีการฉีดวัคซีน ณ ห้างสรรพสินค้า และห้างค้าปลีกขนาดใหญ่
1153,วันเสาร์ที่ 27 - วันอาทิตย์ที่ 28 พฤศจิกายน 2564 นี้ ทางสำนักงานสาธารณสุขจังหวัดปัตตานี จะมีบริการฉีดวัคซีนโควิด – 19 (ไฟเซอร์ Pfizer) โดยจะจัดขึ้นที่ห้าง Asean Mall ตั้งแต่เวลา 09.00 - 15.00 น. ขอเชิญประชาชนผู้สนใจทุกท่านหรือลูกค้าที่เข้ามาใช้บริการ (ที่ยังไม่ได้รับวัคซีนโควิด – 19)
1154,"วันนี้ (28 พ.ย. 64) เครือข่ายบริการสุขภาพอำเภอแม่ลาน้อย จ.แม่ฮ่องสอน ออกให้บริการเชิงรุกฉีดวัคซีนโควิด-19 สูตรใหม่ เข็มที่ 1 แอสตราเซเนกา (AstraZeneca) เข็มที่ 2 ไฟเซอร์ (Pfizer) ณ หน่วยเลือกตั้ง นายกองค์การบริหารส่วนตำบล และสมาชิกฯ จำนวน 3 แห่ง ได้แก่ อาคารอเนกประสงค์บ้านแม่เตี๋ย หมู่ 5 ต.ท่าผาปุ่ม , โรงเรียนบ้านแม่ปาง ต.สันติคีรี และ โบสถ์บ้านสันติสุข ต.แม่ลาหลวง"
1155,โรงพยาบาลอำนาจเจริญ โดยหน่วยฉีดวัคซีนหอประชุมพุทธอุทยานอำนาจเจริญ
1156,ยะลา เดินหน้ารณรงค์ เร่งฉีดวัคซีนประชาชนป้องกันโควิดสายพันธุ์ใหม่ ภาพรวมทั้งจังหวัดฉีดแล้ว 62.42 ประชาชนยังคงเข้ารับการฉีดวัคซีนที่ด่านตรวจ 4 มุมเมืองยะลา ท่าสาป ขุนไวย์ มลายูบางกอก เมืองทอง อย่างต่อเนื่อง โดยเฉพาะด่านท่าสาป ซึ่งมีผู้เดินทางเข้าพื้นที่ จ.ยะลา จำนวนมาก จากทั้งใน พื้นที่เอง และต่างพื้นที่ ปัตตานี นราธิวาส สงขลา หากไม่เคยได้รับการฉีดวัคซีนใดมาก่อน ต้องการเข้า จ.ยะลา ก็จะได้รับการฉีดวัคซีนไฟเซอร์เข็มแรกทันที
1157,"สถานการณ์แพร่ระบาดไวรัสโควิด-19 จ.ระยอง ประจำวันที่ 29 พฤศจิกายน 2564 พบผู้ติดเชื้อรายใหม่เพิ่ม 81 ราย เสียชีวิต 2 ราย หายป่วยกลับบ้าน 88 ราย  ยังเหลือผู้ป่วยอยู่ระหว่างรักษา 1,327 ราย"
1158,"ศูนย์ปฏิบัติการฉุกเฉินด้านการแพทย์และสาธารณสุขจังหวัดเลย รายงานพบผู้ติดเชื้อโควิด-19 ในจังหวัดเลยเพิ่มขึ้นจำนวน 17 ราย เป็นการติดเชื้อจากในพื้นที่ 15 ราย นอกพื้นที่ 2 ราย โดยในพื้นที่ เป็นการติดเชื้อในพื้นที่เชื่อมโยงจากกรณีการติดเชื้อเป็นกลุ่มก้อน หรือคลัสเตอร์บ้านหมันขาว หมู่ 11 ตำบลกกสะทอน อำเภอด่านซ้ายจำนวน 11 ราย เกิดจากกิจกรรมออกค่าของนักศึกษา ที่โรงเรียน ตชด.บ้านหมันขาว, คลัสเตอร์บ้านทรายขาวเหนือ หมู่ 17 ตำบลทรายขาว อำเภอวังสะพุง จำนวน 3 ราย ซึ่งเป็นคลัสเตอร์จากงานศพ และคลัสเตอร์บ้านซำกกค้อ หมู่ 7 ตำบลโนนปอแดง อำเภอผาขาว จำนวน 1 ราย หายป่วยกลับบ้านวันนี้จำนวน 5 ราย มีผู้ป่วยโควิด-19 สะสมแล้วจำนวน 4,219 ราย กำลังรักษาตัวอยู่ 158 ราย มีผู้สัมผัสเสี่ยงสูงคงเหลือต้องติดตามจำนวน 457 ราย มีผู้เสียชีวิตเพิ่ม 1 ราย โดยผู้เสียชีวิตสะสมรวมจำนวน 34 ราย"
1159,ครม.มีมติ จัดซื้อวัคซีนไฟเซอร์เพิ่ม 30 ล้านโดส เตรียมส่งมอบไตรมาส 1 - 3 ของปี 2565 พร้อมเร่งฉีดวัคซีนครบ 100 ล้านโดส ภายในวันที่ 5 ธันวาคม
1160,วันนี้ (29 พ.ย.64) จังหวัดพังงาจัดประชุมคณะกรรมการโรคติดต่อจังหวัด เพื่อติดตามสถานการณ์การแพร่ระบาดโควิด -19 พร้อมกับมาตรการควบคุมและป้องกัน โดยมี นายจำเริญ ทิพญพงศ์ธาดา ผู้ว่าราชการจังหวัดพังงา เป็นประธาน พร้อมด้วย นายบุญเติม เรณุมาศ รองผู้ว่าราชการจังหวัดพังงา นายธรรมนูญ ศรีวรรธนะ รองผู้ว่าราชการจังหวัดพังงา นายอำเภอ และส่วนราชการที่เกี่ยวข้องร่วมประชุม ณ ห้องประชุมภูผา ศาลากลางจังหวัดพังงา
1161,เมื่อวันที่ 29 พ.ย.64 ณ ห้องประชุมพญาตานี ศาลากลางจังหวัดปัตตานี นายนิพันธ์ บุญหลวงผู้ว่าราชการจังหวัดปัตตานี ได้เป็นประธานในการประชุมคณะกรรมการโรคติดต่อ ครั้งที่ 35/2564 โดยมีการนำเสนอสถานการณ์โรคติดเชื้อไวรัสโคโรน่า 2019 ระดับโลก ภูมิภาค ประเทศไทย และ จังหวัดปัตตานี ทั้งนี้ได้สั่งการให้ คณะกรรมการที่ได้รับมอบหมาย บริหารจัดการ วัคซีนโมเดิร์นน่า ให้เข้าถึงเป้าหมายการมากที่สุด ครอบคลุมที่สุด ตามที่ สภากาชาดไทย จัดสรร ให้จำนวน 540 โดส ได้แก่ กลุ่ม บุคลากรทางการศึกษา บุคลากรทางสาธารณสุข และ กลุ่มประชาชนอายุ 70 ปีขึ้นไป
1162,นายอัลเบิร์ต บัวร์ลา ประธานเจ้าหน้าที่บริหารบริษัทไฟเซอร์ อิงค์ เปิดเผยว่า ทางบริษัทเริ่มพัฒนาวัคซีนสูตรใหม่เพื่อรับมือกับเชื้อโควิด-19 กลายพันธุ์สายพันธุ์โอไมครอนโดยเฉพาะแล้ว เนื่องจากวัคซีนที่ใช้อยู่ในปัจจุบันอาจมีประสิทธิภาพน้อยในการต้านทานเชื้อกลายพันธุ์ใหม่นี้  โดยก่อนหน้านี้ไฟเซอร์และบริษัทไบโอเอ็นเทคของเยอรมนีก็สามารถพัฒนาวัคซีนสูตรเฉพาะสำหรับรับมือกับเชื้อสายพันธุ์เบตาและเดลตาได้ใน 95 วัน แต่ไม่มีโอกาสได้ใช้ เนื่องจากวัคซีนสูตรเดิมยังต้านเชื้อกลายพันธุ์เหล่านี้ได้
1163,"สถานการณ์แพร่ระบาดไวรัสโควิด-19 จ.ระยอง ประจำวันที่ 30 พฤศจิกายน 2564 พบผู้ติดเชื้อรายใหม่เพิ่ม 76 ราย หายป่วยกลับบ้าน 136 ราย  ยังเหลือผู้ป่วยอยู่ระหว่างรักษา 1,267 ราย"
1164,บรรยากาศ การให้บริการฉีดวัคซีนที่ด่านตรวจท่าสาป วันนี้ (30 พ.ย 64) ซึ่งเป็นวันสุดท้ายที่ ทาง รพ.ยะลา จะตั้งจุดบริการฉีดวัคซีนไฟเซอร์เข็มแรกให้กับประชาชนที่ยังไม่ได้รับวัคซีน และต้องการเข้าพื้นที่ จ.ยะลา ก็จะต้องได้รับการฉีดวัคซีนก่อนเข้าเมือง ตั้งแต่ช่วงเช้า หลังเปิดให้บริการ ได้มีประชาชนทยอยเข้ารับการฉีดวัคซีน กันอย่างต่อเนื่อง
1165,"นายแพทย์ประเสริฐ กิจสุวรรณรัตน์ นายแพทย์สาธารณสุขจังหวัดลำปาง เปิดเผยว่า จังหวัดลำปางเชิญชวนชาวลำปางอีกประมาณ 70,000 คน ที่ยังไม่ได้รับการฉีดวัคซีนป้องกันโควิด-19 ให้รับการฉีดวัคซีน ซึ่งขณะนี้ได้ปรับสูตรการฉีดวัคซีน คือ เข็มแรกเป็นวัคซีน AstraZeneca และถัดไปประมาณ 1 เดือน จะให้เข็ม 2 เป็นวัคซีน Pfizer"
1166,วันที่ 30 พฤศจิกายน 2564 เวลา 10.00 น. นายชลธี ยังตรง ผู้ว่าราชการจังหวัดยโสธร เป็นประธานในพิธีเปิดการ Kick off รณรงค์ ยโสธรเปิดเมืองปลอดภัย ร่วมใจฉีดวัคซีน โควิด-19 โดยมี นายสุวัฒน์ เข็มเพชร นายชัยวัฒน์ แสงศรี รองผู้ว่าราชการจังหวัดยโสธร นายชัยวัฒน์ ชัยเวชพิสิฐ ปลัดจังหวัดยโสธร พร้อมหัวหน้าส่วนราชการ ภาคเอกชน ผู้นำชุมชน และเยาวชนในจังหวัดยโสธร ร่วมงาน  และมีนายแพทย์ธีระพงษ์ แก้วภมร นายแพทย์สาธารณสุขจังหวัดยโสธร ณ ห้องประชุม 1 ชั้น 4 สำนักงานสาธารณสุขจังหวัดยโสธร
1167,"กรมควบคุมโรค กำหนดให้วันที่ 27 พฤศจิกายน- วันที่ 5 ธันวาคม 2564 เป็น ""สัปดาห์แห่งการฉีดวัคซีน"" สู่เป้าหมาย 100 ล้านโดส เพื่อป้องกันการติดเชื้อไวรัสโคโรนา 2019 และเพื่อความปลอดภัยของประชาชน"
1168,โรงพยาบาลสบเมย จังหวัดแม่ฮ่องสอน เปิดให้บริการฉีดวัคซีนป้องกันโควิดสูตรใหม่แก่ประชาชน เข็มที่ 1 แอสตราเซเนกา (AstraZeneca) เข็มที่ 2 ไฟเซอร์ (Pfizer) (หรือ AstraZeneca ในกรณีจำเป็น) ณ สำนักงานสาธารณสุขอำเภอสบเมย อำเภอสบเมย จังหวัดแม่ฮ่องสอน (ตรงข้าม ธกส.สบเมย) ทุกวันศุกร์ในเดือนธันวาคม 2564 เวลา 08.00 น. เป็นต้นไป สำหรับผู้เข้ารับวัคซีนสูตรดังกล่าวต้องเป็นประชาชนที่ยังไม่เคยได้รับวัคซีน ที่มีอายุตั้งแต่ 18 ปี ขึ้นไป โดยผู้ที่สนใจเข้ารับวัคซีนให้เตรียมบัตรประชาชนตัวจริงไปในวันเข้ารับบริการด้วย สอบถามข้อมูลเพิ่มเติมได้ที่ โรงพยาบาลสบเมย โทรศัพท์ 053-618-080
1169,เหล่ากาชาดมุกดาหาร ให้กำลังใจผู้เข้ารับวัคซีนไฟเซอร์-โมเดอร์นา เนื่องใน “สัปดาห์แห่งการฉีดวัคซีน” สู่เป้าหมาย 100 ล้านโดส
1170,"(30 พ.ย.64) ที่ห้องราชภักดิ์ ชั้น 5 สำนักงานสาธารณสุขจังหวัดประจวบคีรีขันธ์  นายพรหมพิริยะ กิจนุสนธิ์ รองผู้ว่าราชการจังหวัดประจวบคีรีขันธ์ เป็นประธานการประชุมคณะกรรมการโรคติดต่อจังหวัดฯ ผ่านระบบซูม โดยมีการรายงานสถานการณ์การแพร่ระบาดของโรคโควิด -19 ของ จ.ประจวบฯ ประจำวันที่ 30 พ.ย.64 พบผู้ป่วยติดเชื้อรายใหม่ 60 คน ไม่มีผู้เสียชีวิตเพิ่ม ยอดสะสมผู้เสียชีวิต 114 คน มีประชาชนได้รับวัคซีนโควิด เข็ม 1 แล้ว 391,983 คน คิดเป็นร้อยละ 67.8 ของประชากรในจังหวัด ได้รับวัคซีนครบ 2 เข็ม 348,409 คน คิดเป็นร้อยละ 60.3 ของประชากรในจังหวัด และมีผู้ได้รับวัคซีนกระตุ้นภูมิคุ้มกัน เข็ม 3 จำนวน 20,409 คน คิดเป็นร้อยละ 3.5 ของประชากรในจังหวัด"
1171,สำนักงานประชาสัมพันธ์จังหวัดแพร่ รายงานว่า วันนี้ (30 พ.ย. 64) เวลา 14.30 น. ณ ห้องประชุมจดหมายเหตุ ศาลากลางจังหวัดแพร่ นายสมหวัง พ่วงบางโพ ผู้ว่าราชการจังหวัดแพร่ เป็นประธานการประชุมคณะกรรมการโรคติดต่อจังหวัดแพร่ ครั้งที่ 36 ประจำปี 2564 เพื่อรับทราบสถานการณ์การระบาดของโรคโควิด-19 ผลการให้บริการวัคซีนของจังหวัดแพร่และทบทวนมาตรการป้องกันและควบคุมการแพร่ระบาด
1172,"วันนี้ (30 พ.ย.2564) เวลา 09.00 น. นางอิสรีย์ มั่งคั่ง นายกเหล่ากาชาดจังหวัดมุกดาหาร พร้อมด้วยสมาชิกเหล่ากาชาดฯ เข้าพบปะให้กำลังใจบุคลากรทางการแพทย์ และประชาชนที่เข้ารับการฉีดวัคซีนไฟเซอร์ และโมเดอร์นา เข็มแรก ที่หอประชุม 250 ปี จังหวัดมุกดาหาร โดยแยกเป็นวัคซีน โมเดอร์นา สำหรับผู้สูงอายุ คนพิการและผู้ด้อยโอกาสที่ได้มีการจองคิวไว้แล้วรวมทั้งสิ้น 530 โดส และยี่ห้อไฟเซอร์ จำนวน 500 โดส/วัน สำหรับประชาชนทั่วไป ซึ่งสามารถ ""วอล์คอิน"" (Walk-in) เข้าไปรับการฉีดวัคซีนได้เลย ตั้งแต่วันนี้ถึงวันที่ 5 ธันวาคม 2564 ซึ่งเป็นสัปดาห์แห่งการฉีดวัคซีน ของกรมควบคุมโรคกำหนดให้ระหว่างวันที่ 27 พ.ย. -5 ธ.ค.64"
